# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition
# File: C:\Users\tales\Downloads\Workspace\Unicycle-MIPS-Based-Computer-System\Pins\MIPS-physical.csv
# Generated on: Thu Dec 18 08:37:01 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
<<new node>>,,,,,,,,,,,
switches[0],Input,PIN_AB28,5,B5_N1,PIN_Y16,2.5 V,,,,,
switches[1],Input,PIN_AC28,5,B5_N2,PIN_AD21,2.5 V,,,,,
switches[2],Input,PIN_AC27,5,B5_N2,PIN_AE16,2.5 V,,,,,
switches[3],Input,PIN_AD27,5,B5_N2,PIN_AD15,2.5 V,,,,,
switches[4],Input,PIN_AB27,5,B5_N1,PIN_AE15,2.5 V,,,,,
switches[5],Input,PIN_AC26,5,B5_N2,PIN_AC19,2.5 V,,,,,
switches[6],Input,PIN_AD26,5,B5_N2,PIN_AF16,2.5 V,,,,,
switches[7],Input,PIN_AB26,5,B5_N1,PIN_AD19,2.5 V,,,,,
switches[8],Input,PIN_AC25,5,B5_N2,PIN_AF15,2.5 V,,,,,
switches[9],Input,PIN_AB25,5,B5_N1,PIN_AF24,2.5 V,,,,,
switches[10],Input,PIN_AC24,5,B5_N2,PIN_AE21,2.5 V,,,,,
switches[11],Input,PIN_AB24,5,B5_N2,PIN_AF25,2.5 V,,,,,
switches[12],Input,PIN_AB23,5,B5_N2,PIN_AC22,2.5 V,,,,,
switches[13],Input,PIN_AA24,5,B5_N2,PIN_AE22,2.5 V,,,,,
switches[14],Input,PIN_AA23,5,B5_N2,PIN_AF21,2.5 V,,,,,
switches[15],Input,PIN_AA22,5,B5_N2,PIN_AF22,2.5 V,,,,,
switch_hold,Input,PIN_Y23,5,B5_N2,PIN_AG25,2.5 V,,,,,
push_reset,Input,PIN_R24,5,B5_N0,PIN_Y17,2.5 V,,,,,
push_confirm,Input,PIN_M23,6,B6_N2,PIN_AB22,2.5 V,,,,,
led_negative,Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,
led_io,Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
led_interrupt,Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
led_hold,Output,PIN_H15,7,B7_N2,PIN_H15,2.5 V,,,,,
led_clock,Output,PIN_F17,7,B7_N2,PIN_F17,2.5 V,,,,,
led_bios,Output,PIN_G21,7,B7_N1,PIN_G21,2.5 V,,,,,
lcd_RW,Output,PIN_M1,1,B1_N2,PIN_M1,2.5 V,,,,,
lcd_RS,Output,PIN_M2,1,B1_N2,PIN_M2,2.5 V,,,,,
lcd_ON,Output,PIN_L5,1,B1_N1,PIN_L5,2.5 V,,,,,
lcd_EN,Output,PIN_L4,1,B1_N1,PIN_L4,2.5 V,,,,,
lcd_DATA[0],Output,PIN_L3,1,B1_N1,PIN_L3,2.5 V,,,,,
lcd_DATA[1],Output,PIN_L1,1,B1_N2,PIN_L1,2.5 V,,,,,
lcd_DATA[2],Output,PIN_L2,1,B1_N2,PIN_L2,2.5 V,,,,,
lcd_DATA[3],Output,PIN_K7,1,B1_N1,PIN_K7,2.5 V,,,,,
lcd_DATA[4],Output,PIN_K1,1,B1_N1,PIN_K1,2.5 V,,,,,
lcd_DATA[5],Output,PIN_K2,1,B1_N1,PIN_K2,2.5 V,,,,,
lcd_DATA[6],Output,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
lcd_DATA[7],Output,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
lcd_BLON,Output,PIN_L6,1,B1_N2,PIN_L6,2.5 V,,,,,
hex_7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
hex_7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
hex_7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
hex_7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
hex_7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
hex_7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
